experiment,step,lr,d_model,n_heads,num_layers,ff_dim,dropout,weight_tying,batch_size,n_params,best_dev_ppl,test_ppl,test_loss
step0_lr0.1,0,0.1,20,1,1,20,0.0,False,8,2033400,81.5078,72.38,4.2819
step0_lr0.05,0,0.05,20,1,1,20,0.0,False,8,2033400,67.4109,60.1656,4.0971
step0_lr0.01,0,0.01,20,1,1,20,0.0,False,8,2033400,50.3681,44.8298,3.8029
step0_lr0.005,0,0.005,20,1,1,20,0.0,False,8,2033400,48.3349,42.4868,3.7492
step0_lr0.001,0,0.001,20,1,1,20,0.0,False,8,2033400,46.0715,40.4612,3.7003
step0_lr0.0001,0,0.0001,20,1,1,20,0.0,False,8,2033400,50.0667,43.3544,3.7694
step1_dmodel64,1.1,0.001,64,1,1,64,0.0,False,8,6523776,39.6912,35.3026,3.564
step1_dmodel128,1.1,0.001,128,1,1,128,0.0,False,8,13096704,39.6435,35.3028,3.564
step1_dmodel256,1.1,0.001,256,1,1,256,0.0,False,8,26390016,39.1732,35.0285,3.5562
step1_nheads2,1.2,0.001,256,2,1,256,0.0,False,8,26390016,37.6685,33.7859,3.52
step1_nheads4,1.2,0.001,256,4,1,256,0.0,False,8,26390016,37.3409,33.9432,3.5247
step1_nheads8,1.2,0.001,256,8,1,256,0.0,False,8,26390016,37.7462,34.2283,3.5331
step1_layers2,1.3,0.001,256,4,2,256,0.0,False,8,26785792,36.6064,33.1755,3.5018
step1_layers4,1.3,0.001,256,4,4,256,0.0,False,8,27577344,36.0616,32.7288,3.4883
step1_ffdim512,1.4,0.001,256,4,4,512,0.0,False,8,28102656,35.6618,32.3279,3.4759
step1_ffdim1024,1.4,0.001,256,4,4,1024,0.0,False,8,29153280,34.514,31.2599,3.4423
step2_dropout0.1,2,0.001,256,4,4,1024,0.1,False,8,29153280,33.4895,30.0064,3.4014
step2_dropout0.2,2,0.001,256,4,4,1024,0.2,False,8,29153280,32.4749,29.3362,3.3788
step2_dropout0.3,2,0.001,256,4,4,1024,0.3,False,8,29153280,31.7241,28.5465,3.3515
step3_weight_tying,3,0.001,256,4,4,1024,0.3,True,8,16287488,30.1972,27.1381,3.3009
