experiment,lr,d_model,n_heads,num_layers,ff_dim,dropout,slot_f1_mean,slot_f1_std,intent_acc_mean,intent_acc_std
step0_lr0.1,0.1,64,2,2,256,0.0,0.1088,0.0659,0.7454,0.0227
step0_lr0.01,0.01,64,2,2,256,0.0,0.8798,0.0124,0.929,0.0118
step0_lr0.001,0.001,64,2,2,256,0.0,0.852,0.0062,0.8999,0.0105
step0_lr0.0001,0.0001,64,2,2,256,0.0,0.0603,0.0675,0.7077,0.0
step1_dmodel128,0.01,128,2,2,256,0.0,0.8028,0.0409,0.8941,0.0176
step1_dmodel256,0.01,256,2,2,256,0.0,0.4622,0.1161,0.7931,0.0278
step1_nheads4,0.01,64,4,2,256,0.0,0.8756,0.0077,0.9295,0.0057
step1_nheads8,0.01,64,8,2,256,0.0,0.8875,0.0066,0.9371,0.0075
step1_layers4,0.01,64,8,4,256,0.0,0.8779,0.0081,0.9319,0.0077
step1_layers6,0.01,64,8,6,256,0.0,0.8811,0.0091,0.9377,0.0043
step1_ffdim512,0.01,64,8,2,512,0.0,0.8819,0.0129,0.9232,0.0161
step1_ffdim1024,0.01,64,8,2,1024,0.0,0.8839,0.0108,0.938,0.0087
step2_dropout0.1,0.01,64,8,2,256,0.1,0.9027,0.0037,0.9467,0.0066
step2_dropout0.2,0.01,64,8,2,256,0.2,0.9106,0.0044,0.9595,0.0027
step2_dropout0.3,0.01,64,8,2,256,0.3,0.9085,0.0036,0.9583,0.0029
